date,time,Open,High,Low,Close,1004,ema4,ema8,ema16,rsi
2018.09.04,01:00:00,142.962,143.011,142.925,142.962,416,142.94610583673804,142.95124517010552,142.97102040251352,87.46108476109538
2018.09.04,01:15:00,142.956,142.965,142.914,142.965,280,142.95366350204284,142.95430179897096,142.97031211986487,89.31647017699939
2018.09.04,01:30:00,142.963,143.031,142.963,143.022,340,142.98099810122568,142.96934584364408,142.9763930469396,98.38687222440157
2018.09.04,01:45:00,143.02,143.041,142.992,143.002,273,142.9893988607354,142.97660232283428,142.97940562965258,61.653826331342984
2018.09.04,02:00:00,143.007,143.012,142.951,142.958,809,142.97683931644124,142.97246847331553,142.9768873202817,23.32938763426783
2018.09.04,02:15:00,142.958,142.97,142.955,142.957,908,142.96890358986474,142.96903103480096,142.97454763554268,22.688332094276674
2018.09.04,02:30:00,142.957,142.972,142.941,142.951,798,142.96174215391883,142.96502413817853,142.97177732547883,17.062212974522918
2018.09.04,02:45:00,142.952,142.967,142.94,142.943,818,142.95424529235132,142.96012988524996,142.96839175777544,10.270619099144309
2018.09.04,03:00:00,142.946,142.946,142.704,142.707,2537,142.8553471754108,142.90387879963885,142.93763978627243,0.41946779992179756
2018.09.04,03:15:00,142.708,142.793,142.66,142.748,2013,142.8124083052465,142.86923906638577,142.91532922318154,25.310880918432176
2018.09.04,03:30:00,142.747,142.838,142.679,142.83,1376,142.8194449831479,142.8605192738556,142.90529049104254,62.65265016316022
2018.09.04,03:45:00,142.83,142.846,142.759,142.836,1873,142.82606698988874,142.85507054633214,142.89713866856695,65.19888308911827
2018.09.04,04:00:00,142.836,142.872,142.785,142.805,1887,142.81764019393324,142.84394375825832,142.88629882520613,38.25111219305371
2018.09.04,04:15:00,142.805,142.813,142.685,142.748,1804,142.78978411635995,142.8226229230898,142.87002837518187,15.179386762895167
2018.09.04,04:30:00,142.748,142.915,142.711,142.851,2691,142.81427046981597,142.82892894018096,142.86778974280753,73.32566715189908
2018.09.04,04:45:00,142.85,142.962,142.841,142.943,1705,142.86576228188957,142.85427806458517,142.87663800835958,88.00948464637493
2018.09.04,05:00:00,142.943,142.957,142.865,142.902,1561,142.88025736913374,142.8648829391218,142.87962177208198,59.04102846031941
2018.09.04,05:15:00,142.9,142.923,142.864,142.892,816,142.88495442148024,142.8709089526503,142.88107803418995,50.872803608311365
2018.09.04,05:30:00,142.891,142.917,142.866,142.879,904,142.88257265288814,142.87270696317245,142.88083355957937,37.41457423762475
2018.09.04,05:45:00,142.879,142.902,142.859,142.895,683,142.88754359173288,142.87766097135636,142.88250019962885,62.096815012448346
2018.09.04,06:00:00,142.895,142.917,142.885,142.912,623,142.89732615503974,142.88529186661052,142.88597076437838,79.37859690039024
2018.09.04,06:15:00,142.912,142.913,142.859,142.89,853,142.89439569302382,142.88633811847484,142.88644479209856,36.410631892584114
2018.09.04,06:30:00,142.89,142.898,142.855,142.862,912,142.88143741581428,142.88092964770266,142.8835689342046,15.312319954953036
2018.09.04,06:45:00,142.86,142.907,142.85,142.882,695,142.88166244948857,142.88116750376872,142.88338435370991,53.66668641642045
2018.09.04,07:00:00,142.881,142.881,142.817,142.861,925,142.87339746969315,142.87668583626456,142.8807509003323,27.50624155648628
2018.09.04,07:15:00,142.862,142.888,142.837,142.886,591,142.8784384818159,142.878755650428,142.88136844146968,66.44774718110864
2018.09.04,07:30:00,142.886,143,142.876,142.966,1970,142.91346308908953,142.89814328366623,142.8913250954144,92.43959502250686
2018.09.04,07:45:00,142.966,143.005,142.924,142.946,1716,142.92647785345372,142.90877810951818,142.89775743713034,66.63110952813791
